date,nav,meta_fund_house,meta_scheme_type,meta_scheme_category,meta_scheme_code,meta_scheme_name,meta_isin_growth,meta_isin_div_reinvestment
05-05-2015,46.54020,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
04-05-2015,46.39840,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
30-04-2015,46.16470,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
29-04-2015,46.43260,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
28-04-2015,45.98960,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
27-04-2015,45.42460,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
24-04-2015,46.14500,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
23-04-2015,46.71610,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
22-04-2015,46.76390,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
21-04-2015,46.64950,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
20-04-2015,46.80140,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
17-04-2015,46.90380,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
16-04-2015,47.30800,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
15-04-2015,47.35030,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
13-04-2015,47.10960,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
10-04-2015,46.74350,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
09-04-2015,46.64220,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
08-04-2015,46.51890,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,
